"","BB","CC","CS","LT","MM","PS","RS","RWF","SMB","SS","WS"
"2015_9",0,0.00120918984280532,0,0,0,0.0181378476420798,0.00120918984280532,0,0.139056831922612,0.0157194679564692,0
"2015_10",0,0,0.00325732899022801,0,0.001085776330076,0.0380021715526602,0.001085776330076,0,0.112920738327904,0.00325732899022801,0
"2015_11",0,0,0,0,0,0.0195439739413681,0.001085776330076,0,0.117263843648208,0.00217155266015201,0
"2015_12",0,0,0,0,0,0.0310880829015544,0.00518134715025907,0,0.038860103626943,0.00518134715025907,0
"2015_13",0,0,0,0,0,0.0277185501066098,0.00426439232409382,0,0.127931769722815,0.00426439232409382,0.00213219616204691
"2015_14",0,0,0.0116686114352392,0,0,0.015169194865811,0.00116686114352392,0,0.0536756126021004,0.00466744457409568,0
"2015_15",0,0,0.0131926121372032,0,0,0.0554089709762533,0.0263852242744063,0,0.113456464379947,0.00527704485488127,0.00263852242744063
"2015_16",0,0,0,0,0,0.0072463768115942,0.0434782608695652,0,0.105072463768116,0,0.0036231884057971
"2015_17",0,0,0,0,0,0.00457317073170732,0,0,0.0442073170731707,0,0.00152439024390244
"2015_18",0,0.00959692898272553,0.0882917466410749,0,0.00191938579654511,0.0614203454894434,0,0,0.0249520153550864,0.00191938579654511,0
"2015_19",0,0,0.0279187817258883,0,0,0.0812182741116751,0.00761421319796954,0,0.0482233502538071,0,0.00253807106598985
"2015_20",0,0.00160771704180064,0.00643086816720257,0,0,0.0466237942122186,0,0,0.0771704180064309,0.00321543408360129,0.00803858520900321
"2015_21",0,0.00416666666666667,0.05,0.00208333333333333,0,0.00833333333333333,0.0125,0,0.00208333333333333,0.00416666666666667,0.00208333333333333
"2015_22",0,0.00248138957816377,0.00248138957816377,0,0,0.00248138957816377,0.0148883374689826,0,0.0260545905707196,0.00372208436724566,0.00124069478908189
"2015_23",0,0.00221238938053097,0.00442477876106195,0,0.00110619469026549,0.00331858407079646,0.0298672566371681,0,0.0210176991150442,0.00663716814159292,0
"2015_24",0,0.00275482093663912,0.00826446280991736,0,0,0.0137741046831956,0.0110192837465565,0.00275482093663912,0.0578512396694215,0.0110192837465565,0
"2015_25",0,0.00149925037481259,0.0149925037481259,0,0.00299850074962519,0.0239880059970015,0.0134932533733133,0,0.0614692653673163,0,0.00149925037481259
"2015_26",0,0.0093167701863354,0.0186335403726708,0,0.0031055900621118,0.0527950310559006,0.0031055900621118,0,0.0838509316770186,0,0.0062111801242236
"2015_27",0,0.00226244343891403,0.00904977375565611,0,0.00678733031674208,0.0633484162895928,0.00226244343891403,0,0.0203619909502262,0.00452488687782805,0.00452488687782805
