SITE.N,OLD SITE.N,SITE,HAB,HAB2,HAB3,DEPTH,E.UTM1,N.UTM1,E.UTM2,N.UTM2,ACCUR.H,ELEVAT,,,,,,,,
BEF.FBL.037,BEF.FBL.037,TAMARACK BLOWDOWN TO CALL CAMP,S,,,,,,,,,,,,,,,,,
BEF.FBL.038,BEF.FBL.038,CALL TO CAREY,S,,,,,,,,,,,,,,,,,
BEF.FBL.039,BEF.FBL.039,CAREY TO  POINT,S,,,,,,,,,,,,,,,,,
BEF.FBL.040,BEF.FBL.040,BOATHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.041,BEF.FBL.041,ROCKS BY ROSS CAMP,R,,,,,,,,,,,,,,,,,
BEF.FBL.042,BEF.FBL.042,SAXON BOATHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.043,BEF.FBL.043,SISLER BOATHOUSE DOCKS,RW,,,,,,,,,,,,,,,,,
BEF.FBL.044,BEF.FBL.044,SUNKEN CRIB AND DOCK NEAR DUPREE CAMP,RC,,,,,,,,,,,,,,,,,
BEF.FBL.045,BEF.FBL.045,MEEKER BOATHOUSE,UNK,,,,,,,,,,,,,,,,,
BEF.FBL.046,BEF.FBL.046,WOODS CAMP BOAHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.047,BEF.FBL.047,HARRISON BOATHOUSE DOCKS,RC,,,,,,,,,,,,,,,,,
BEF.FBL.048,BEF.FBL.048,HALSEY BOATHOUSE DOCK AND SUNKEN DOCK,RD,,,,,,,,,,,,,,,,,
BEF.FBL.049,BEF.FBL.049,SLINGLUFF BOATHOUSE,RD,,,,,,,,,,,,,,,,,
BEF.FBL.101,BEF.FBL.101,QEF.101,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.102,BEF.FBL.102,QEF.102,S,,,,,,,,,,,,,,,,,
BEF.FBL.103,BEF.FBL.103,QEF.103,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.104,BEF.FBL.104,QEF.104,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.105,BEF.FBL.105,QEF.105,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.106,BEF.FBL.106,QEF.106,S,,,,,,,,,,,,,,,,,
BEF.FBL.107,BEF.FBL.107,QEF.107,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.108,BEF.FBL.108,QEF.108,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.109,BEF.FBL.109,QEF.109,S,,,,,,,,,,,,,,,,,
BEF.FBL.110,BEF.FBL.110,QEF.110,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.111,BEF.FBL.111,QEF.111,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.112,BEF.FBL.112,QEF.112,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.113,BEF.FBL.113,QEF.113,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.114,BEF.FBL.114,QEF.114,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.115,BEF.FBL.115,QEF.115,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.116,BEF.FBL.116,QEF.116,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.117,BEF.FBL.117,QEF.117,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.118,BEF.FBL.118,QEF.118,RW,,,,,,,,,,,,,,,,,
BEF.FBL.119,BEF.FBL.119,QEF.119,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.120,BEF.FBL.120,QEF.120,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.121,BEF.FBL.121,QEF.121,S,,,,,,,,,,,,,,,,,
BEF.FBL.122,BEF.FBL.122,QEF.122,SW,,,,,,,,,,,,,,,,,
BEF.FBL.123,BEF.FBL.123,QEF.123,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.124,BEF.FBL.124,QEF.124,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.125,BEF.FBL.125,QEF.125,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.126,BEF.FBL.126,QEF.126,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.127,BEF.FBL.127,QEF.127,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.128,BEF.FBL.128,QEF.128,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.129,BEF.FBL.129,QEF.129,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.130,BEF.FBL.130,QEF.130,SD,,,,,,,,,,,,,,,,,
BEF.FBL.131,BEF.FBL.131,QEF.131,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.132,BEF.FBL.132,QEF.132,SD,,,,,,,,,,,,,,,,,
BEF.FBL.133,BEF.FBL.133,QEF.133,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.134,BEF.FBL.134,QEF.134,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.135,BEF.FBL.135,QEF.135,SW,,,,,,,,,,,,,,,,,
BEF.FBL.136,BEF.FBL.136,QEF.136,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.137,BEF.FBL.137,QEF.137,RW,,,,,,,,,,,,,,,,,
BEF.FBL.138,BEF.FBL.138,QEF.138,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.139,BEF.FBL.139,QEF.139,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.140,BEF.FBL.140,QEF.140,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.141,BEF.FBL.141,QEF.141,#N/A,,,,,,,,,,,,,,,,,
